sample_id	PAM50_recomputed	PAM50Call_RNAseq	PAM50_final	thornsson_subtype	CPE
TCGA-AR-A1AH-01	Basal	Basal	Basal		0.9104
TCGA-AR-A1AI-01	Basal	Basal	Basal		0.5233
TCGA-AR-A1AJ-01	Basal	Basal	Basal		0.41
TCGA-AR-A1AK-01	LumA	LumA	LumA		0.5835
TCGA-AR-A1AL-01	LumA	LumA	LumA		0.6334
TCGA-AR-A1AM-01	LumA		LumA		0.7182
TCGA-AR-A1AN-01	LumB	LumA	LumA		0.6708
TCGA-AR-A1AO-01	Basal	Normal	Normal		0.4766
TCGA-AR-A1AP-01	LumB	LumA	LumA		0.7471
TCGA-AR-A1AQ-01	Basal	Basal	Basal		0.5404
TCGA-AR-A1AR-01	Basal	Basal	Basal		0.6122
TCGA-AR-A1AS-01	LumB	LumA	LumA		0.8509
TCGA-AR-A1AT-01	Her2		Her2		0.5659
TCGA-AR-A1AU-01	LumA	LumA	LumA		0.7646
TCGA-AR-A1AV-01	LumB	LumA	LumA		0.7856
TCGA-AR-A1AW-01	LumB	LumB	LumB		0.3857
TCGA-AR-A1AX-01	Her2	LumA	LumA		0.3705
TCGA-AR-A1AY-01	Basal	Basal	Basal		0.8587
TCGA-AR-A24H-01	LumB	LumB	LumB		0.855
TCGA-AR-A24K-01	LumB	LumB	LumB		0.8974
TCGA-AR-A24L-01	LumB	LumA	LumA		0.7182
TCGA-AR-A24M-01	LumA	LumA	LumA		0.7982
TCGA-AR-A24N-01	LumB	LumB	LumB		0.8511
TCGA-AR-A24O-01	LumA	LumA	LumA		0.6188
TCGA-AR-A24P-01	LumB	LumA	LumA		0.7805
TCGA-AR-A24Q-01	Basal	Basal	Basal		0.6575
TCGA-AR-A24R-01	LumB	LumB	LumB		0.7847
TCGA-AR-A24S-01	LumB	LumB	LumB		0.5987
TCGA-AR-A24T-01	LumA	LumA	LumA		0.746
TCGA-AR-A24U-01	Her2	Her2	Her2		0.4064
