sample	stromal	immune	estimate
TCGA-S3-AA15-01	4544.12088327282	5731.5502477726	10275.6711310454
TCGA-OL-A5D7-01	1199.70789367006	4378.11978595926	5577.82767962933
TCGA-OL-A5DA-01	2017.18937027208	1856.96046916802	3874.14983944009
TCGA-B6-A0RL-01	-2024.90264961578	-210.109436699298	-2235.01208631508
TCGA-OL-A66N-01	3163.85374370035	3074.65739783061	6238.51114153096
TCGA-E9-A1ND-11	5207.61660351724	5048.23146701507	10255.8480705323
TCGA-A2-A0CM-01	3336.69285784729	4312.59217824785	7649.28503609513
TCGA-S3-A6ZG-01	2218.04750968669	2250.90520041581	4468.9527101025
TCGA-E9-A1RB-01	2111.88453936954	1631.99680407693	3743.88134344647
TCGA-A2-A4RY-01	3589.04005401935	2652.21927602832	6241.25933004767
TCGA-E9-A1R6-01	2235.0674171781	1201.60554460348	3436.67296178158
TCGA-E9-A1R3-01	3665.96152581521	3121.7587757192	6787.72030153441
TCGA-D8-A1JK-01	3691.68007636306	4327.721844475	8019.40192083806
TCGA-A2-A0CR-01	3947.36702806789	6322.5130766307	10269.8801046986
TCGA-BH-AB28-01	2957.76507186921	3037.3205864493	5995.08565831852
TCGA-E2-A10C-01	2216.95216282792	3439.5677806633	5656.51994349122
TCGA-B6-A0WW-01	2633.43861039597	1271.58508775675	3905.02369815272
TCGA-BH-A6R8-01	1871.44933348636	2854.37201345277	4725.82134693913
TCGA-D8-A27L-01	4066.33341699252	2996.77343925688	7063.1068562494
TCGA-BH-A0EE-01	-23.3944879898469	2491.00208162793	2467.60759363808
TCGA-D8-A1JG-01	3610.86622615149	3717.74717904636	7328.61340519784
TCGA-C8-A133-01	-270.758302338676	1009.46825029938	738.709947960701
TCGA-A2-A0EO-01	4282.94049464431	2994.04565648085	7276.98615112515
TCGA-A2-A0YL-01	3669.91362377728	2543.65738128638	6213.57100506367
TCGA-AR-A1AY-01	2026.988390727	1406.53325992362	3433.52165065062
TCGA-B6-A0IC-01	-944.484499344293	504.931366881638	-439.553132462654
TCGA-AR-A24L-01	3746.10623018688	1535.17757947323	5281.28380966012
TCGA-AC-A3YJ-01	1387.3929848387	2655.12090095561	4042.51388579431
TCGA-A8-A06U-01	1976.88390391102	2480.0279102231	4456.91181413412
TCGA-AR-A0U0-01	2360.79000380087	4429.85470006114	6790.64470386201
TCGA-BH-A1EW-01	3032.63729479801	3097.53427784248	6130.17157264049
TCGA-AN-A0FF-01	3166.57340277903	3131.87274098958	6298.44614376861
TCGA-AN-A0FX-01	2616.7280888979	1124.0072821371	3740.735371035
TCGA-BH-A1FH-11	4571.16397148242	3577.0280900723	8148.19206155472
TCGA-E9-A1RF-11	5192.40258865727	3342.44598436555	8534.84857302283
TCGA-BH-A0DZ-01	4234.54020354066	3326.21376102304	7560.7539645637
TCGA-A2-A0SU-01	2876.30974919289	2256.97051662972	5133.2802658226
TCGA-E2-A15O-01	1100.2467339126	1289.32417607421	2389.57090998681
TCGA-E2-A1LI-01	1340.99906408877	3057.64891292309	4398.64797701187
TCGA-E9-A54Y-01	-349.755112621369	1266.58444838631	916.829335764943
TCGA-EW-A3E8-01	3651.13774290159	4253.84313146248	7904.98087436407
TCGA-D8-A1XV-01	945.192093704828	616.517936898578	1561.71003060341
TCGA-AR-A255-01	4164.25871826702	3094.2257715441	7258.48448981112
TCGA-GM-A4E0-01	4960.01083790424	4768.74310099071	9728.75393889495
TCGA-BH-A1F0-11	3747.11268762669	2245.99284414153	5993.10553176821
TCGA-B6-A0IE-01	2077.42596778181	1081.50907881654	3158.93504659835
TCGA-A8-A07F-01	2882.24500791096	2278.94925787322	5161.19426578418
TCGA-AN-A046-01	3632.41676747871	3958.88907220763	7591.30583968634
TCGA-AR-A1AS-01	2073.01540380998	1528.21035693372	3601.2257607437
TCGA-E2-A15T-01	935.909401672946	480.766910582912	1416.67631225586
TCGA-GM-A2DB-01	1088.09114927376	3000.78139307111	4088.87254234487
TCGA-EW-A1PH-01	1520.89415784088	1710.05839986494	3230.95255770583
TCGA-BH-A0HP-01	3465.07423397469	2556.97065471299	6022.04488868768
TCGA-AN-A0AM-01	2640.81426448766	2948.38473482027	5589.19899930794
TCGA-C8-A1HG-01	2826.47037635506	3844.74201460497	6671.21239096003
TCGA-BH-A18L-01	921.486246401951	1042.69734947536	1964.18359587731
TCGA-A2-A0YI-01	4083.55240822551	4445.38722094629	8528.93962917179
TCGA-D8-A4Z1-01	3456.35559027611	2126.83807847398	5583.19366875009
TCGA-GM-A2DK-01	3588.86598058569	2916.82832222072	6505.69430280641
TCGA-BH-A1FD-11	3874.14422533863	2344.03033968032	6218.17456501894
TCGA-E2-A1L9-01	4430.2381132858	3012.23786774904	7442.47598103484
TCGA-BH-A0BA-01	3070.91804493872	2232.68100454626	5303.59904948498
TCGA-C8-A12L-01	1618.65136913698	1952.82480679559	3571.47617593257
TCGA-A8-A083-01	513.576652011227	996.774801259874	1510.3514532711
TCGA-D8-A1XY-01	3815.51424024285	1750.79273367729	5566.30697392015
TCGA-AC-A2FF-11	4038.28961860553	3334.65558914897	7372.9452077545
TCGA-A2-A0D2-01	2500.76958173108	3293.6305924702	5794.40017420128
TCGA-AR-A1AL-01	3872.62963847363	2472.51840424607	6345.1480427197
TCGA-AO-A0J6-01	799.010646091276	3593.1288227443	4392.13946883557
